cg_ipo_id,pct_qib,pct_retail,pct_nii,pct_anchor,details_fetched,sector,kpi_roe,kpi_ebitda_margin,kpi_pb,kpi_post_ipo_pe,kpi_roce,kpi_debt_equity,kpi_pat_margin
2949,50.0,35.0,15.0,30.0,2026-07-12,,43.02,92.46,19.6,38.12,,,
2675,1.0,70.0,29.0,0.6,2026-07-12,,33.85,13.84,3.78,18.49,17.56,2.35,6.34
2654,50.0,35.0,15.0,30.0,2026-07-12,,23.32,12.96,3.39,19.82,17.83,1.1,6.46
2670,50.0,35.0,15.0,30.0,2026-07-12,,25.82,27.15,8.45,44.8,24.76,0.44,13.8
2592,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,35.75,20.42,5.52,18.33,46.71,0.62,10.99
2678,20.0,40.0,40.0,12.0,2026-07-12,Consumer Discretionary,12.8,11.25,3.11,25.65,12.13,0.66,5.6
2641,50.0,35.0,15.0,30.0,2026-07-12,Technology,23.75,18.16,4.92,29.75,24.4,0.86,8.8
2686,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,35.89,29.63,7.6,18.64,24.09,1.29,20.55
2474,75.0,10.0,15.0,45.0,2026-07-12,Industrials,0.92,0.2,65.64,112.18,1.14,1.27,0.09
2601,75.0,10.0,15.0,45.0,2026-07-12,Financials,-95.18,11.01,2.77,-19.66,-59.09,0.15,
2658,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,13.02,14.03,2.48,15.35,14.82,0.18,9.81
2586,50.0,35.0,15.0,30.0,2026-07-12,Materials,0.1,5.17,9.17,19.42,9.3,0.76,2.59
2576,50.0,35.0,15.0,30.0,2026-07-12,Financials,23.51,,0.91,10.84,,1.63,
2676,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.28,12.38,5.93,19.23,26.53,0.32,8.45
2501,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,11.87,10.36,4.58,22.56,9.16,1.68,4.76
2570,,,,,2026-07-12,Industrials,11.6,15.23,3.54,18.58,13.9,0.4,9.12
2681,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,5.13,18.68,10.89,72.19,9.28,,8.93
2456,50.0,35.0,15.0,30.0,2026-07-12,Materials,,38.5,6.01,21.65,27.1,,27.6
2031,50.0,35.0,15.0,30.0,2026-07-12,Materials,15.62,16.45,2.77,9.18,15.45,0.55,9.56
2039,1.0,65.0,34.0,0.6,2026-07-12,Industrials,19.55,6.34,11.98,30.89,18.19,1.1,4.17
2067,50.0,35.0,15.0,30.0,2026-07-12,Materials,14.86,9.16,5.53,20.88,16.55,0.49,4.87
2794,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,20.03,20.9,14.38,62.63,32.52,0.17,9.28
2479,50.0,35.0,15.0,30.0,2026-07-12,Industrials,12.07,30.72,11.45,50.53,9.19,1.65,11.74
2475,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,18.3,19.65,8.42,10.96,25.2,1.1,12.85
2573,50.0,35.0,15.0,30.0,2026-07-12,Energy,0.43,,4.11,324.28,,2.53,
2502,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,12.9,4.13,29.69,10.74,0.75,5.3
2019,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,21.25,38.29,10.48,22.99,21.03,0.38,25.14
2569,75.0,10.0,15.0,45.0,2026-07-12,Technology,,11.9,8.65,109.12,,,4.5
2026,75.0,10.0,15.0,45.0,2026-07-12,Financials,7.63,,1.45,24.64,,3.02,
2526,75.0,10.0,15.0,45.0,2026-07-12,Industrials,,2.86,8.97,170.39,,0.21,
2549,75.0,10.0,15.0,45.0,2026-07-12,Technology,,8.26,8.61,603.54,,,0.88
2462,50.0,35.0,15.0,30.0,2026-07-12,Materials,,7.29,1.84,43.23,30.13,,1.96
2289,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,36.61,41.12,22.62,41.59,37.65,0.15,23.61
2454,50.0,35.0,15.0,30.0,2026-07-12,Industrials,22.77,6.35,7.31,28.68,16.6,1.17,3.51
2525,50.0,35.0,15.0,30.0,2026-07-12,Financials,82.8,,30.41,33.07,,,
2297,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,20.68,26.71,6.09,25.14,17.47,0.61,15.3
2548,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,13.45,22.05,7.72,162.19,18.67,,8.88
2433,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,27.5,20.55,10.71,35.15,41.32,0.1,12.49
2488,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,-6.58,7.13,11.5,89.58,-0.68,0.53,-2.75
2005,50.0,35.0,15.0,30.0,2026-07-12,Industrials,24.57,4.32,5.0,22.94,19.72,0.88,2.74
2465,75.0,10.0,15.0,45.0,2026-07-12,Industrials,-14.3,11.68,9.94,-74.71,0.87,0.99,-11.07
2516,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,,30.16,-11.63,,,
2484,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,,39.7,12.93,53.55,,0.2,27.63
2148,50.0,35.0,15.0,30.0,2026-07-12,Technology,10.38,31.4,3.23,57.46,16.11,0.05,14.87
2476,75.0,10.0,15.0,45.0,2026-07-12,Technology,,13.13,8.87,2214.95,2.76,0.18,2.37
2025,50.0,35.0,15.0,30.0,2026-07-12,Technology,39.4,16.13,16.09,25.84,41.01,0.87,10.15
2509,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,42.65,16.67,12.77,23.83,56.78,,11.31
2266,75.0,10.0,15.0,45.0,2026-07-12,,,6.69,14.1,-116.86,,,-8.43
2518,75.0,10.0,15.0,45.0,2026-07-12,Technology,104.6,30.91,24.25,20.01,23.33,3.63,15.8
2487,75.0,10.0,15.0,45.0,2026-07-12,Technology,,15.68,-9.85,1325.57,,,
2453,75.0,10.0,15.0,45.0,2026-07-12,Financials,,59.11,11.76,40.79,,,44.92
2551,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,-106.0,17.77,11.03,284.96,3.58,,
2259,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,16.64,17.96,5.12,28.43,20.25,-0.07,11.93
2470,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,16.6,5.4,31.68,32.7,,10.7
2150,50.0,35.0,15.0,30.0,2026-07-12,Materials,19.42,27.43,6.5,39.49,18.84,0.43,17.17
2429,50.0,35.0,15.0,30.0,2026-07-12,Financials,7.71,,6.64,107.53,,,
