cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
2949,,,,Financials,equity,1,0,rhp
2675,,,,Energy,equity,0,0,rhp
2654,,,,Energy,equity,0,0,name
2670,,,,Other,equity,0,0,unknown
2592,,,,Industrials,equity,0,0,rhp
2678,,,,Industrials,equity,0,0,rhp
2641,,,,Technology,equity,0,0,name
2686,,,,Consumer Discretionary,equity,0,0,name
2474,,,,Consumer Discretionary,equity,0,0,name
2601,,,,Financials,equity,1,0,name
2658,,,,Healthcare,equity,0,0,name
2586,,,,Technology,equity,0,0,name
2576,,,,Technology,equity,0,0,name
2676,,,,Energy,equity,0,0,name
2570,,,,Energy,equity,0,0,name
2681,,,,Healthcare,equity,0,0,name
2501,,,,Other,equity,0,0,unknown
2456,,,,Other,equity,0,0,unknown
2031,,,,Healthcare,equity,0,0,name
2039,,,,Other,equity,0,0,unknown
2067,,,,Materials,equity,0,0,name
2794,,,,Industrials,equity,0,0,name
2479,,,,Industrials,equity,0,0,name
2475,,,,Consumer Discretionary,equity,0,0,name
2573,,,,Energy,equity,0,0,name
2502,,,,Consumer Discretionary,equity,0,0,name
2019,,,,Healthcare,equity,0,0,name
2569,,,,Technology,equity,0,0,name
2026,,,,Financials,equity,1,0,name
2526,,,,Technology,equity,0,0,name
2549,,,,Technology,equity,0,0,rhp
2462,,,,Energy,equity,0,0,name
2289,,,,Healthcare,equity,0,0,name
2454,,,,Other,equity,0,0,unknown
2525,,,,Financials,equity,1,0,name
2297,,,,Healthcare,equity,0,0,name
2548,,,,Healthcare,equity,0,0,name
2433,,,,Healthcare,equity,0,0,rhp
2488,,,,Consumer Discretionary,equity,0,0,name
2005,,,,Materials,equity,0,0,name
2465,,,,Consumer Discretionary,equity,0,0,rhp
2516,,,,Technology,equity,0,0,rhp
2484,,,,Healthcare,equity,0,0,rhp
2148,,,,Technology,equity,0,0,name
2476,,,,Technology,equity,0,0,rhp
2025,,,,Energy,equity,0,0,rhp
2509,,,,Other,equity,0,0,unknown
2266,,,,Other,equity,0,0,unknown
