cg_ipo_id,detail_url,company,id,URLRewrite_Folder_Name,Closing Date,Total Issue Amount (Incl.Firm reservations) (Rs.cr.),QIB (x),sNII (x),bNII (x),NII (x),Retail (x),Employee (x),Shareholder (x),Others (x),Total (x),Applications,Issue_Close_Date,Issue_Open_Date,Highlight_Row,isin,bse_script_code,nse_symbol,Subscription as on,issue_open_date_plan
1999,https://www.chittorgarh.com/ipo/caliber-mining-ipo/1999/,Caliber Mining & Logistics Ltd. O,1999,caliber-mining-ipo,21-Jul-2026,450.00,0.31,2.28,1.4,1.69,1.72,,,,1.31,"1,42,746",2026-07-21,2026-07-17,color-green,,,,17-Jul-2026 18:54,2026-07-17
2675,https://www.chittorgarh.com/ipo/alpine-texworld-ipo/2675/,Alpine Texworld Ltd. P,2675,alpine-texworld-ipo,16-Jul-2026,126.25,1.09,1.48,0.9,1.09,1.54,,,,1.4,"76,891",2026-07-16,2026-07-14,color-lightyellow,,,,16-Jul-2026 18:54,2026-07-14
2949,https://www.chittorgarh.com/ipo/sbi-funds-management-ipo/2949/,SBI Funds Management Ltd. P,2949,sbi-funds-management-ipo,16-Jul-2026,9812.91,140.11,15.51,26.01,22.51,3.76,4.65,9.52,,41.73,"63,82,532",2026-07-16,2026-07-14,color-lightyellow,,,,16-Jul-2026 18:54,2026-07-14
2654,https://www.chittorgarh.com/ipo/laser-power-infra-ipo/2654/,Laser Power & Infra Ltd.,2654,laser-power-infra-ipo,13-Jul-2026,742.00,97.25,36.43,50.32,45.69,6.95,,,,41.05,"11,53,140",2026-07-13,2026-07-09,,INE17IR01028,544822,LASERPOWER,13-Jul-2026 18:54,2026-07-09
2670,https://www.chittorgarh.com/ipo/kusumgar-ipo/2670/,Kusumgar Ltd.,2670,kusumgar-ipo,10-Jul-2026,650.00,299.51,144.05,189.4,174.28,27.97,11.09,,,135.8,"37,19,690",2026-07-10,2026-07-08,,INE0ISX01025,544821,KUSUMGAR,10-Jul-2026 18:54,2026-07-08
2592,https://www.chittorgarh.com/ipo/knack-packaging-ipo/2592/,Knack Packaging Ltd.,2592,knack-packaging-ipo,03-Jul-2026,439.50,160.22,112.09,163.91,146.64,21.09,9.84,,,87.17,"19,86,659",2026-07-03,2026-07-01,,INE17QZ01016,544814,KNACK,03-Jul-2026 18:54,2026-07-01
2678,https://www.chittorgarh.com/ipo/aastha-spintex-ipo/2678/,Aastha Spintex Ltd.,2678,aastha-spintex-ipo,01-Jul-2026,170.00,3.59,6.66,9.11,8.29,2.54,,,,5.05,"1,11,665",2026-07-01,2026-06-29,,INE2FMX01012,544808,AASTHA,01-Jul-2026 18:54,2026-06-29
2641,https://www.chittorgarh.com/ipo/csm-technologies-ipo/2641/,CSM Technologies Ltd.,2641,csm-technologies-ipo,29-Jun-2026,145.78,1.02,1.33,1.65,1.54,1.63,1.82,,,1.37,"45,816",2026-06-29,2026-06-24,,INE0ZK601013,544806,CSM,29-Jun-2026 18:54,2026-06-24
2474,https://www.chittorgarh.com/ipo/cordelia-cruises-ipo/2474/,Waterways Leisure Tourism Ltd.,2474,cordelia-cruises-ipo,25-Jun-2026,585.00,0.72,1.83,0.94,1.23,4.4,,,,1.53,"1,15,477",2026-06-25,2026-06-23,,INE0LZF01013,544802,CORDELIA,25-Jun-2026 18:54,2026-06-23
2686,https://www.chittorgarh.com/ipo/advit-jewels-ipo/2686/,Advit Jewels Ltd.,2686,advit-jewels-ipo,25-Jun-2026,165.16,174.98,502.25,554.12,536.38,95.3,,,,212.63,"32,04,037",2026-06-25,2026-06-23,,INE1SJO01012,544803,RAMBHAJO,25-Jun-2026 18:54,2026-06-23
