company,listing_date,issue_price,yahoo_symbol,ret_1d,basis,yahoo_first_date,yahoo_last_date,delisted,ret_6m,ret_12m,ret_24m,bottom_12m_pct,sessions_to_bottom,peak_24m_pct,sessions_to_peak,cg_ipo_id,current_ret,bottom_so_far_pct,bottom_so_far_session
Educomp Solutions Ltd.,2006-01-13,125.0,EDUCOMP.BO,128.3,cg_bridge,2006-01-13,2008-03-19,False,220.8,710.9,3523.8,107.3,17.0,3700.4,486.0,3077,,,
Celebrity Fashions Ltd.,2006-01-12,180.0,CELEBRITY.NS,27.6,cg_bridge,2006-01-12,2008-03-19,False,-31.8,-37.7,-64.0,-44.4,227.0,-35.6,254.0,3076,,,
Bartronics India Ltd.,2006-01-12,75.0,,,,,,,,,,,,,,3079,,,
Punj Lloyd Ltd.,2006-01-06,700.0,,,,,,,,,,,,,,3074,,,
Radha Madhav Corp.Ltd.,2006-01-06,20.0,,,,,,,,,,,,,,3073,,,
Tulip IT Services Ltd.,2006-01-05,120.0,,,,,,,,,,,,,,3072,,,
PVR Ltd.,2006-01-04,225.0,PVRINOX.NS,31.5,cg_bridge,2006-01-04,2008-03-13,False,2.0,2.4,56.1,-13.5,107.0,62.8,494.0,3071,,,
Compulink Systems Ltd.,2005-12-28,60.0,,,,,,,,,,,,,,3067,,,
Repro India Ltd.,2005-12-22,165.0,REPRO.NS,43.2,cg_bridge,2005-12-19,2008-02-29,False,253.8,255.5,375.9,43.2,0.0,834.7,24.0,3069,,,
Kernex Microsystems (India) Ltd.,2005-12-20,250.0,KERNEX.NS,38.0,cg_bridge,2005-12-20,2008-02-27,False,-29.8,-37.8,16.7,-46.5,146.0,46.3,427.0,3068,,,
Everest Kanto Cylinder Ltd.,2005-12-15,160.0,EKC.NS,26.1,cg_bridge,2005-12-15,2008-02-22,False,82.7,309.7,105.9,26.1,0.0,630.8,346.0,3066,,,
AIA Engineering Ltd.,2005-12-14,315.0,AIAENG.NS,56.0,cg_bridge,2005-12-14,2008-02-21,False,41.9,322.3,452.2,33.8,118.0,458.1,381.0,3063,,,
ABG Shipyard Ltd.,2005-12-13,185.0,,,,,,,,,,,,,,3064,,,
Piramyd Retail Ltd.,2005-12-06,120.0,,,,,,,,,,,,,,3061,,,
Bombay Rayon Fashions Ltd.,2005-12-05,70.0,,,,,,,,,,,,,,3062,,,
Vikash Metal & Power Ltd.,2005-11-28,20.0,,,,,,,,,,,,,,3059,,,
PBA Infrastructure Ltd.,2005-11-24,60.0,532676.BO,14.1,cg_bridge,2005-11-24,2008-02-01,False,113.7,119.7,65.4,14.1,0.0,225.8,100.0,3058,,,
Prithvi Information Solutions Ltd.,2005-11-16,270.0,,,,,,,,,,,,,,3060,,,
K.M.Sugar Mills Ltd.,2005-11-14,52.0,KMSUGAR.BO,0.5,cg_bridge,2005-11-14,2008-01-22,False,43.0,-18.1,-59.2,-31.8,171.0,13.3,184.0,3056,,,
Bannari Amman Spinning Mills Ltd.,2005-11-14,135.0,BASML.NS,-2.0,cg_bridge,2005-11-14,2008-01-22,False,-19.6,-3.0,-7.5,-51.9,139.0,-0.5,238.0,3057,,,
Paradyne Infotech Ltd.,2005-11-10,42.0,,,,,,,,,,,,,,3053,,,
Shree Renuka Sugars Ltd.,2005-10-31,285.0,RENUKA.NS,-8.1,cg_bridge,2005-10-31,2008-01-08,False,396.4,114.5,176.1,-8.1,0.0,473.2,107.0,3054,,,
Aurionpro Solutions Ltd.,2005-10-25,90.0,AURIONPRO.NS,18.6,cg_bridge,2005-10-25,2008-01-02,False,11.1,91.7,378.1,-16.9,155.0,442.4,462.0,3052,,,
Suzlon Energy Ltd.,2005-10-19,510.0,SUZLON.NS,35.4,cg_bridge,2005-10-19,2007-12-27,False,151.2,163.4,206.8,26.4,1.0,250.4,493.0,3051,,,
FCS Software Solutions Ltd.,2005-09-21,50.0,FCSSOFT.NS,258.2,cg_bridge,2005-09-21,2007-11-29,False,69.6,106.4,71.6,34.5,178.0,123.3,291.0,3046,,,
Amar Remedies Ltd.,2005-09-16,28.0,,,,,,,,,,,,,,3047,,,
Sasken Communication Technologies Ltd.,2005-09-09,260.0,,,,,,,,,,,,,,3045,,,
HT Media Ltd.,2005-09-01,530.0,HTMEDIA.NS,5.2,cg_bridge,2005-09-01,2007-11-08,False,-11.2,3.4,901.6,-30.9,191.0,1040.2,448.0,3044,,,
Vivimed Labs Ltd.,2005-08-17,70.0,VIVIMEDLAB.NS,211.9,cg_bridge,2005-08-17,2007-10-25,False,225.7,133.8,84.9,55.2,45.0,285.6,175.0,3042,,,
Infrastructure Development Finance Co.Ltd.,2005-08-12,34.0,,,,,,,,,,,,,,3043,,,
Shri Ramrupai Balaji Steels Ltd.,2005-08-02,22.0,,,,,,,,,,,,,,3041,,,
IL&FS Investsmart Ltd.,2005-07-27,125.0,,,,,,,,,,,,,,3039,,,
SPL Industries Ltd.,2005-07-26,70.0,SPLIL.NS,47.6,cg_bridge,2005-07-26,2007-10-03,False,14.1,-45.7,-67.1,-46.3,245.0,-34.9,287.0,3037,,,
Nectar Lifesciences Ltd.,2005-07-18,240.0,NECLIFE.NS,8.1,cg_bridge,2005-07-18,2007-09-25,False,-4.5,-48.7,-8.6,-62.3,223.0,-3.5,378.0,3035,,,
MSP Steel & Power Ltd.,2005-07-18,10.0,MSPL.NS,50.0,cg_bridge,2005-07-18,2007-09-25,False,10.3,2.5,152.5,-3.9,223.0,171.6,492.0,3034,,,
Yes Bank Ltd.,2005-07-12,45.0,YESBANK.NS,35.1,cg_bridge,2005-07-12,2007-09-19,False,51.3,75.1,309.4,27.1,2.0,336.3,491.0,3033,,,
Provogue (India) Ltd.,2005-07-07,150.0,,,,,,,,,,,,,,3032,,,
Uniply Industries Ltd.,2005-07-06,24.0,,,,,,,,,,,,,,3030,,,
Shree Ganesh Forgings Ltd.,2005-06-22,30.0,,,,,,,,,,,,,,3028,,,
